"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Luka Doncic","Lal","*","F-G","27","42","35.5","37.9","16.2","456","0.781","491","0.587","432","0.345","0.554","0.614","32.8","7.8","8.5","1.5","0.5","4.3","40.7","41.4","49.2","14.6","119.9","110.7"
"","Shai Gilgeous-Alexander","Okc","*","G","27.6","49","33.3","33.5","9.6","452","0.892","741","0.603","223","0.39","0.599","0.67","31.8","4.4","6.4","1.3","0.8","2.1","36.2","38.2","42.7","11.6","134.5","106.4"
"","Anthony Edwards","Min","*","G","24.5","46","35.5","31.2","11.6","336","0.795","554","0.556","386","0.402","0.575","0.62","29.3","5.2","3.7","1.3","0.8","2.7","34.5","33","38.2","9.3","119.4","111.9"
"","Jaylen Brown","Bos","*","G-F","29.3","49","34.2","36.9","13.7","342","0.775","812","0.532","293","0.348","0.529","0.571","29.3","6.9","4.7","1","0.4","3.6","36.1","34","40.8","11.5","113.3","107.9"
"","Donovan Mitchell","Cle","*","G","29.4","51","33.7","32.6","13","306","0.853","568","0.583","492","0.376","0.574","0.619","29","4.5","5.9","1.5","0.3","3.1","33.5","34.9","39.4","10.9","120.6","111.3"
"","Tyrese Maxey","Phi","*","G","25.3","52","38.6","29.2","10.1","316","0.889","658","0.532","459","0.379","0.547","0.598","28.9","4.1","6.8","2","0.8","2.4","33","35.7","39.8","9.6","122.8","113.5"
"","Nikola Jokic","Den","*","C","31","39","34.3","31","17.8","306","0.84","485","0.654","181","0.42","0.647","0.699","28.7","12.3","10.7","1.4","0.8","3.7","41","39.4","51.7","18.2","139","107.9"
"","Giannis Antetokounmpo","Mil","*","F","31.2","30","29.2","36.3","17","298","0.658","449","0.666","38","0.395","0.66","0.679","28","10","5.6","0.9","0.7","3.3","38","33.6","43.6","15.9","128.4","108"
"","Kawhi Leonard","Lac","*","F","34.6","41","32.8","33.5","9.8","262","0.912","521","0.551","287","0.383","0.559","0.619","27.9","6.4","3.7","2.1","0.5","2.1","34.3","31.6","38","10.6","122.8","113.4"
"","Stephen Curry","Gol","*","G","37.9","39","31.3","32.7","13","204","0.931","296","0.584","448","0.391","0.585","0.636","27.2","3.5","4.8","1.1","0.4","2.8","30.7","32.1","35.6","9.8","119.6","112.7"
"","Jalen Brunson","Nyk","*","G","29.5","50","34.6","30.8","9.7","287","0.847","634","0.528","390","0.374","0.541","0.587","27","3.3","6.1","0.7","0.1","2.2","30.3","33.1","36.4","9.4","122.8","112.7"
"","Lauri Markkanen","Uta","*","F-C","28.7","41","34.4","28","7.2","260","0.892","468","0.556","314","0.363","0.551","0.61","26.7","7","2.1","1","0.5","1.5","33.7","28.8","35.8","8.5","123","120.3"
"","Joel Embiid","Phi","*","C-F","31.9","31","31.3","33.7","14","268","0.858","440","0.543","123","0.317","0.528","0.606","26.6","7.5","3.9","0.6","1.1","3","34.1","30.5","38","11.8","119.7","111.5"
"","Kevin Durant","Hou","*","F","37.4","50","36.7","27.1","15.3","308","0.88","605","0.555","288","0.403","0.571","0.628","25.8","5.3","4.4","0.9","0.9","3.2","31.1","30.3","35.6","9.2","122.5","111.7"
