PLAYER,TEAM,Period,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Luka Dončić,LAL,Q1,9.6,10.7,3.5,6.5,53.8,1.7,3.8,43.5,2.0,2.5,80.0,0.0,3.8,3.8,3.2,1.7,0.3,0.0,0.0,19.4,3.0,1.0,6.2
Anthony Edwards,MIN,Q1,11.8,10.1,3.7,7.0,52.4,1.4,2.8,52.0,1.3,1.4,92.3,0.2,0.9,1.1,1.1,0.7,0.6,0.1,0.6,14.4,0.0,0.0,2.3
Joel Embiid,PHI,Q1,10.2,10.0,3.7,7.5,48.9,0.3,0.8,40.0,2.3,2.3,100,1.8,1.5,3.3,1.5,0.7,0.2,0.2,0.5,16.6,1.0,0.0,5.0
Paul Reed,DET,Q1,8.2,9.0,4.0,4.5,88.9,0.5,0.5,100,0.5,1.0,50.0,0.5,1.5,2.0,0.5,1.0,0.5,1.0,1.0,15.7,0.0,0.0,11.0
Jaren Jackson Jr.,UTA,Q1,8.1,8.7,3.3,5.1,63.9,1.1,1.7,66.7,1.0,1.0,100,0.0,1.6,1.6,1.0,0.7,0.9,0.3,0.7,14.8,0.0,0.0,1.0
Evan Mobley,CLE,Q1,8.8,8.3,3.7,6.3,57.9,0.0,1.7,0.0,1.0,1.0,100,0.0,0.7,0.7,1.0,0.7,0.0,0.7,0.3,12.0,1.0,0.0,0.7
Jalen Brunson,NYK,Q1,11.5,8.0,2.7,6.1,44.3,1.0,3.0,33.3,1.6,1.7,94.1,0.1,1.2,1.3,1.8,1.0,0.3,0.0,0.3,12.2,1.0,0.0,3.5
Michael Porter Jr.,BKN,Q1,9.2,7.8,2.7,5.2,51.6,0.7,2.5,26.7,1.8,2.0,91.7,0.7,1.3,2.0,1.2,0.7,0.2,0.0,0.7,11.8,2.0,0.0,-5.5
Victor Wembanyama,SAS,Q1,6.2,7.8,2.6,3.6,72.2,0.8,1.4,57.1,1.8,2.4,75.0,0.4,1.9,2.3,0.2,0.5,0.4,0.3,0.4,12.5,7.0,0.0,3.3
Stephen Curry,GSW,Q1,9.0,7.8,2.3,6.0,37.5,1.8,3.8,46.7,1.5,1.5,100,0.0,0.5,0.5,1.0,1.0,0.8,0.0,0.5,11.1,0.0,0.0,1.8
Tyrese Maxey,PHI,Q1,10.6,7.6,2.6,6.1,42.6,1.1,3.4,32.4,1.3,1.3,100,0.0,0.5,0.5,1.2,0.6,0.5,0.0,0.4,10.9,1.0,0.0,2.2
Jaylen Brown,BOS,Q1,10.2,7.5,2.8,6.3,44.0,0.9,2.4,36.8,1.1,1.3,90.0,0.3,1.8,2.0,1.3,0.5,0.5,0.3,0.4,13.5,2.0,0.0,-2.0
Jamal Murray,DEN,Q1,10.4,7.4,2.3,4.4,52.5,0.9,2.1,42.1,1.9,2.2,85.0,0.1,1.0,1.1,2.3,0.9,0.2,0.1,0.3,12.4,4.0,0.0,1.3
Dillon Brooks,PHX,Q1,9.2,7.3,2.7,5.3,50.9,0.5,1.5,33.3,1.4,1.4,100,0.2,1.1,1.3,0.6,0.7,0.2,0.0,0.9,9.7,0.0,0.0,-0.9
Aaron Gordon,DEN,Q1,8.6,7.0,2.0,4.0,50.0,1.0,2.0,50.0,2.0,3.0,66.7,0.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,18.6,0.0,0.0,6.0
Desmond Bane,ORL,Q1,8.9,7.0,2.4,4.1,58.5,1.2,2.2,54.5,1.0,1.1,90.9,0.3,0.2,0.5,0.6,0.7,0.5,0.2,0.3,9.9,0.0,0.0,0.4
OG Anunoby,NYK,Q1,9.3,7.0,2.5,4.5,55.6,1.5,2.7,56.3,0.5,1.0,50.0,0.0,0.7,0.7,0.3,0.3,0.3,0.0,0.8,9.0,0.0,0.0,1.2
Jarrett Allen,CLE,Q1,8.0,6.9,3.0,4.0,75.0,0.0,0.1,0.0,0.9,1.0,90.0,0.9,2.1,3.0,0.7,0.4,0.2,0.2,0.7,12.4,4.0,0.0,3.7
Brandon Miller,CHA,Q1,8.5,6.6,2.2,5.0,44.0,1.0,2.6,38.5,1.2,1.2,100,0.5,1.1,1.6,0.9,0.7,0.5,0.2,0.7,11.3,1.0,0.0,2.3
Norman Powell,MIA,Q1,7.9,6.6,2.0,4.4,45.5,1.0,2.4,41.7,1.6,1.8,88.9,0.0,0.6,0.6,0.6,0.0,0.4,0.0,0.4,9.4,1.0,0.0,3.2
De'Aaron Fox,SAS,Q1,8.5,6.5,2.4,4.3,55.8,0.7,1.7,41.2,1.0,1.1,90.9,0.1,0.7,0.8,2.2,0.6,0.2,0.1,0.6,11.1,2.0,0.0,3.3
Kon Knueppel,CHA,Q1,8.9,6.5,2.3,3.5,65.7,1.6,2.3,69.6,0.3,0.3,100,0.5,1.0,1.5,1.4,0.6,0.2,0.1,0.3,10.7,0.0,0.0,2.7
Grayson Allen,PHX,Q1,9.1,6.4,2.3,4.6,50.0,1.3,3.1,40.9,0.6,0.7,80.0,0.4,0.7,1.1,0.9,0.3,0.3,0.1,0.1,10.1,0.0,0.0,-2.3
Donovan Mitchell,CLE,Q1,8.7,6.4,2.5,5.5,45.5,0.7,2.4,29.2,0.7,0.8,87.5,0.1,0.9,1.0,1.5,1.0,0.4,0.2,0.4,10.7,1.0,0.0,3.1
Andrew Nembhard,IND,Q1,7.8,6.4,2.3,4.8,47.4,1.3,2.5,50.0,0.6,0.8,83.3,0.3,0.6,0.9,1.4,0.6,0.4,0.0,0.3,10.0,3.0,0.0,0.4
Brandon Williams,DAL,Q1,6.1,6.4,2.4,4.1,57.6,0.5,1.0,50.0,1.1,1.5,75.0,0.0,0.6,0.6,1.3,0.5,0.1,0.0,0.5,8.9,0.0,0.0,-4.6
Jalen Duren,DET,Q1,8.8,6.4,2.6,3.4,77.8,0.0,0.0,0.0,1.1,1.4,81.8,0.9,2.5,3.4,0.5,0.4,0.3,0.0,0.6,11.6,4.0,0.0,0.5
Lauri Markkanen,UTA,Q1,8.9,6.1,2.3,5.6,40.0,1.0,2.8,36.4,0.6,0.8,83.3,0.5,1.6,2.1,0.6,0.4,0.4,0.0,0.4,10.4,1.0,0.0,-0.3
Cade Cunningham,DET,Q1,9.1,6.1,2.4,5.2,46.2,0.5,1.5,33.3,0.8,1.1,72.7,0.4,1.4,1.8,3.5,0.4,0.3,0.2,0.6,14.6,5.0,0.0,2.1
Trey Murphy III,NOP,Q1,10.8,6.1,2.5,6.1,41.0,0.5,2.8,17.9,0.6,0.7,85.7,0.5,1.3,1.8,1.6,0.4,0.3,0.1,0.3,11.5,0.0,0.0,0.0
Alex Sarr,WAS,Q1,8.2,6.0,2.7,5.3,51.4,0.4,1.0,42.9,0.1,0.1,100,1.3,2.3,3.6,1.0,0.3,0.4,0.4,0.4,14.1,3.0,0.0,-1.1
Jevon Carter,ORL,Q1,5.2,6.0,2.0,5.0,40.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0
Jonathan Kuminga,ATL,Q1,5.1,6.0,2.0,2.0,100,0.0,0.0,0.0,2.0,2.0,100,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.5,0.0,0.0,9.0
Keyonte George,UTA,Q1,9.5,6.0,2.3,3.7,63.6,0.3,1.0,33.3,1.0,1.7,60.0,0.0,1.0,1.0,1.3,0.3,0.3,0.0,0.0,9.9,0.0,0.0,-4.7
PJ Hall,CHA,Q1,5.3,6.0,2.0,2.0,100,0.0,0.0,0.0,2.0,2.0,100,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,10.8,1.0,0.0,12.0
Bam Adebayo,MIA,Q1,7.9,5.8,2.0,4.1,48.8,0.8,1.9,42.1,1.0,1.2,83.3,0.1,1.8,1.9,1.0,0.5,0.3,0.1,0.3,10.3,6.0,0.0,4.7
CJ McCollum,ATL,Q1,7.0,5.8,2.4,4.1,58.5,0.8,1.6,50.0,0.2,0.2,100,0.4,0.4,0.8,0.7,0.5,0.1,0.2,0.3,8.2,0.0,0.0,-1.0
